Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Job Offers,2000-12-31T00:00:00,5088,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2001-01-31T00:00:00,5234,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2001-02-28T00:00:00,5097,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2001-03-31T00:00:00,4762,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2001-04-30T00:00:00,4615,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2001-05-31T00:00:00,4425,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2001-06-30T00:00:00,4361,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2001-07-31T00:00:00,4447,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2001-08-31T00:00:00,4024,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2001-09-30T00:00:00,4071,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2001-10-31T00:00:00,3707,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2001-11-30T00:00:00,3775,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2001-12-31T00:00:00,3677,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2002-01-31T00:00:00,3699,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2002-02-28T00:00:00,3436,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2002-03-31T00:00:00,3612,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2002-04-30T00:00:00,3471,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2002-05-31T00:00:00,3457,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2002-06-30T00:00:00,3412,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2002-07-31T00:00:00,3367,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2002-08-31T00:00:00,3517,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2002-09-30T00:00:00,3301,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2002-10-31T00:00:00,3479,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2002-11-30T00:00:00,3514,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2002-12-31T00:00:00,3169,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2003-01-31T00:00:00,3441,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2003-02-28T00:00:00,3229,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2003-03-31T00:00:00,3099,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2003-04-30T00:00:00,3108,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2003-05-31T00:00:00,3289,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2003-06-30T00:00:00,3390,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2003-07-31T00:00:00,2981,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2003-08-31T00:00:00,3190,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2003-09-30T00:00:00,3091,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2003-10-31T00:00:00,3305,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2003-11-30T00:00:00,3324,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2003-12-31T00:00:00,3414,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2004-01-31T00:00:00,3424,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2004-02-29T00:00:00,3532,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2004-03-31T00:00:00,3525,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2004-04-30T00:00:00,3511,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2004-05-31T00:00:00,3710,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2004-06-30T00:00:00,3337,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2004-07-31T00:00:00,3814,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2004-08-31T00:00:00,3541,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2004-09-30T00:00:00,3821,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2004-10-31T00:00:00,3943,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2004-11-30T00:00:00,3472,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2004-12-31T00:00:00,4074,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2005-01-31T00:00:00,3804,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2005-02-28T00:00:00,3965,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2005-03-31T00:00:00,4044,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2005-04-30T00:00:00,4159,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2005-05-31T00:00:00,3797,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2005-06-30T00:00:00,4062,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2005-07-31T00:00:00,4256,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2005-08-31T00:00:00,4142,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2005-09-30T00:00:00,4352,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2005-10-31T00:00:00,4184,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2005-11-30T00:00:00,4248,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2005-12-31T00:00:00,4282,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2006-01-31T00:00:00,4397,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2006-02-28T00:00:00,4325,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2006-03-31T00:00:00,4732,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2006-04-30T00:00:00,4790,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2006-05-31T00:00:00,4463,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2006-06-30T00:00:00,4614,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2006-07-31T00:00:00,4394,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2006-08-31T00:00:00,4710,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2006-09-30T00:00:00,4737,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2006-10-31T00:00:00,4591,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2006-11-30T00:00:00,4645,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2006-12-31T00:00:00,4620,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2007-01-31T00:00:00,4763,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2007-02-28T00:00:00,4699,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2007-03-31T00:00:00,4962,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2007-04-30T00:00:00,4689,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2007-05-31T00:00:00,4657,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2007-06-30T00:00:00,4859,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2007-07-31T00:00:00,4598,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2007-08-31T00:00:00,4546,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2007-09-30T00:00:00,4652,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2007-10-31T00:00:00,4636,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2007-11-30T00:00:00,4646,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2007-12-31T00:00:00,4545,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2008-01-31T00:00:00,4624,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
United States,Job Offers,2008-02-29T00:00:00,4279,Monthly,UNITEDSTAJOBOFF,2021-03-11T15:08:00
